"Variety Name",Description,Parentage,"IVT Variety","Breeder Name","Breeder Address 1","Breeder Address 2","Breeder Town","Breeder Region","Breeder Postcode","Breeder Country","Breeder Email","Breeder Webpage","Breeder Phone","Breeder Fax","Breeder Agent Name","Breeder Agent Address 1","Breeder Agent Address 2","Breeder Agent Town","Breeder Agent Region","Breeder Agent Postcode","Breeder Agent Country","Breeder Agent Email","Breeder Agent Webpage","Breeder Agent Phone","Breeder Agent Fax","Breeder Rights (expiry)","Shape of tuber","Colour of skin","Colour of flesh","Depth of eyes","Smoothness of skin","Colour of base of lightsprout",Maturity,"Height of plants","Colour of flower","Frequency of berries","Resistance to bruising","Resistance to splitting","Resistance to Potato Virus YO","Resistance to Potato Virus YN","Resistance to Potato Virus A","Resistance to Potato mop top (spraing)","Resistance to Potato Leafroll Virus","Resistance to Potato Cyst Nematode (Pa 2/3 - 1) (Globodera pallida Pa 2/3 - 1)","Resistance to Potato Cyst Nematode (Ro1) (Globodera rostochiensis Ro1)","Resistance to common scab (Streptomyces scabiei)","Resistance to blackleg (Pectobacterium atrosepticum)","Resistance to dry rot (Fusarium sulphureum)","Resistance to dry rot (Fusarium coeruleum)","Resistance to skin spot (Polyscytalum pustulans)","Resistance to silver scurf (Helminthosporium solani)","Resistance to black dot (Colletotrichum coccodes)","Resistance to powdery scab (Spongospora subterranea)","Resistance to late blight on tubers (Phytophthora infestans)","Resistance to late blight on foliage (Phytophthora infestans)",Dormancy,"Dry Matter",Determinacy,"Cooking Type"
Linda,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oval,White,"Medium yellow",Medium,-,Pink,"Early Maincrop",Medium,-,-,5,1,4,-,-,-,6,3,3,6,6,1,5,-,-,-,7,3,5,-,-,-,-
Linton,"Tubers have some  resistance to splitting, common scab and dry rot (<i>Fusarium coeruleum</i>).Â Â Trials have found good resistance to blackleg.Â Â This variety has low resistance to potato virus Yo.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","FL 1743 x Hermes ",1,"Robert Hoopes","4295 Tenderfoot Road",,Rhinelander,,"WI 54501","UNITED STATES",,,,,Pepsico,"c/o Cambridge University Farm","Huntingdon Road",Girton,Cambridge,"CB3 0LH","UNITED KINGDOM",,,,,2039,"Short - oval",White,Cream,"Shallow - medium",-,Pink,"Early Maincrop",Medium,White,-,3,5,2,-,-,-,5,2,9,6,7,3,6,6,6,5,6,5,5,-,-,-,-
Lionheart,"Lionheart is a maincrop  variety.Â Â This variety  is particularily suitable for french fries.Â Â Susceptible to Dry rot <i> Fusarium sulphureum </i>, late blight on tubers and foliage and potatro vius Yn. Resistance to Dry rot <i>Fusarium coeruleum </i>  and potato virus A.  Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","Symfonia x Victoria",1,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",-,Long,White,"Light yellow","Shallow - medium",-,Pink,Maincrop,Tall,White,Absent,6,6,4,3,9,-,4,2,3,6,4,1,8,8,7,5,6,3,4,-,-,-,-
Lomond,..,"Maris Peer x Vivaldi",1,"Cullen Allen Limited","8 Wandsworth Drive",,Belfast,"Northern Ireland",,"UNITED KINGDOM",info@cullenallen.co.uk,,"02890 997836",,"Cullen Allen Limited","8 Wandsworth Drive",,Belfast,"Northern Ireland",,"UNITED KINGDOM",info@cullenallen.co.uk,,"02890 997836",,-,Oval,White,"Light yellow",Shallow,-,-,"Early Maincrop",Tall,-,-,4,5,-,1,6,8,5,2,2,4,4,5,7,5,5,5,6,4,5,-,-,-,-
Lorimer,,"98-HG-16.4 X Olympus",1,"Higgins Agriculture Ltd","Greenbank House",Finningley,Doncaster,,"DN9 3BZ","UNITED KINGDOM",potatoes@higgins.co.uk,www.higgins.eu.com,"+44 (0)1302 770591","+44 (0)1302 770668",-,-,-,-,-,-,-,-,-,-,-,-,"Short - oval",White,Cream,Shallow,-,Blue,-,"Short - medium","Blue violet",-,3,7,2,2,8,9,5,3,8,6,5,4,4,7,4,4,4,2,4,-,-,-,-
Lulu,"Tubers have some  resistance to splitting and excellent  resistance to bruising.Â Â Trials have found good resistance to late blight on tubers, powdery scab, common scab, blackleg and Potato Virus Yo. Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>).Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Harmony x Pink Fir Apple hybrid (5RE96)",1,"Caithness Potato Breeders Ltd","Brigade House","Brigade Street",Blackheath,London,"SE3 0TW","UNITED KINGDOM",exportenquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)20 8297 1020","+44 (0)20 8297 2125","Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2038,Round,"Red parti-coloured",White,Shallow,Smooth,Pink,"Second Early",Short,"Red violet",Absent,8,4,6,-,-,-,5,3,9,7,6,1,5,4,5,5,7,7,5,-,-,-,-
Madingley,"Tubers have good  resistance to splitting.Â Â Trials have found good resistance to powdery scab, blackleg and potato leafroll virus.Â Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>).Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","FL1625 x Hermes",1,"Robert Hoopes","4295 Tenderfoot Road",,Rhinelander,,"WI 54501","UNITED STATES",,,,,Pepsico,"c/o Cambridge University Farm","Huntingdon Road",Girton,Cambridge,"CB3 0LH","UNITED KINGDOM",,,,,2038,Round,Yellow,"Deep yellow",Medium,-,Pink,"Second Early",Medium,White,Absent,3,6,6,-,-,-,7,2,1,4,7,1,5,-,-,-,7,3,3,-,-,-,-
Majestic,"An early maincrop variety bred by Archibald Findlay in Lincolnshire and first marketed in 1911. Majestic produces high yields of of long oval, white-skinned tubers with a white, waxy flesh. Eyes are moderately deep and tubers may be prone to growth cracking. Tests show susceptibility to late blight on foliage, Blackleg, potato virus Yo, potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa2/3,1.  ",-,1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Oval - long",White,Cream,"Shallow - medium",Smooth,Pink,"Early Maincrop",Medium,White,Few,-,-,3,-,-,-,4,2,2,-,3,-,5,5,-,-,-,-,3,-,-,-,-
Malin,"Beautiful potato suitable for the washing and pre-packing sector.  It responds well to irrigation.  For use in dishes where potatoes must be boiled or steamed. Shows resistance to Powdery scab and common scab.","Estima x Cara",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",2024,"Oval - long","Red parti-coloured","Light yellow",Shallow,Smooth,Pink,"Early Maincrop","Short - medium",White,Medium,-,-,-,-,-,-,6,-,-,7,-,-,-,-,-,-,7,6,4,-,-,-,-
Malou,"General purpose variety, suitable as a pre-pack/baker.  Testing was conducted in one year only for common scab and mop top (spraing), the rating based on this is a 7 for common scab and a 7 for mop top (spraing).","Oasis x INRA 94T146.43",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,2041,"Short - oval",Yellow,"Light yellow",Shallow,Smooth,-,"Early Maincrop",-,"Red violet",-,3,4,-,-,-,-,-,8,2,-,1,1,8,3,8,5,5,2,2,Long,19%,-,Smooth
Manhattan,"Tubers have poor resistance to splitting and good resistance to bruising.Â Â Trials have found good resistance to common scab, potato leafroll virus and potato virus A.Â Â This variety has low resistance to late blight on foliage and tubers and potato virus Yn and Yo.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Saxon x 94G165-021",1,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",-,-,-,-,-,-,-,-,-,-,-,2044,"Short - oval",White,"Light yellow",Shallow,-,Pink,"Early Maincrop",Medium,White,-,7,2,3,2,9,-,7,1,7,7,6,6,4,3,5,4,5,1,3,-,-,-,-
Manitou,"Manitou is a high yielding red skinned table variety with light yellow flesh.  Manitou is suitable for baking, roasting, home fries and mashed potato.  Tests for potato cyst nematode have demonstrated resistance to <i>Globodera rostochiensis</i> Ro1 but susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.  The variety has resistance to tuber late blight, potato mop top (spraing) and bruising.","Laura x Maranca",,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,"Oval - long",Red,"Light yellow","Very shallow - shallow",-,-,Maincrop,-,Violet,-,7,6,7,-,-,7,-,1,9,5,6,8,-,-,-,-,6,7,5,Medium,19.7%,-,-
Marfona,"Second early table potato, tending to produce large baker fraction. Very popular early baker for numerous supermarket outlets. Tests show resistance to Dry rot <i> Fusarium sulphureum </i> and splitting.  Susceptible to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa2/3,1.  ","Primura x KO 51-123",1,"Konst Research BV","Speringweg 970",,Zwaanshoek,,NL2136,NETHERLANDS,,,,,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",2013,"Short - oval",Cream,"Light yellow","Shallow - medium",Medium,Pink,"Second Early",Medium,White,Absent,5,7,4,-,-,-,4,2,2,5,5,7,4,5,4,5,5,4,4,-,-,-,-
"Maris Bard","First early maturity, high yielding and early bulking.  Good resistance to, gangrene, drought, damage and bruising.  Moderately susceptible to spraing, powdery scab and susceptible to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa2/3,1.  Medium dry matter with good boiling and frying quality.","Y15 139 x Ulster Prince",1,"Plant Breeding Institute",Unknown,,Norwich,,,"UNITED KINGDOM",,,,,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Oval - long",Cream,White,"Shallow - medium",Smooth,Pink,"First Early",Medium,"Red violet",Many,7,7,6,-,-,-,6,2,2,5,4,-,-,-,-,-,3,4,4,-,-,-,-
"Maris Peer","Second early maturity producing moderate yields of very uniform sample.  Good resistance to powdery scab, gangrene, damage, bruising and skin spot.  Moderately susceptible to drought, potato virus Yo, spraing and slug damage.  Susceptible to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa2/3,1.  Medium/low dry matter, firm cooked texture, good boiling quality.","120/13 x Ulster Knight",1,"Plant Breeding Institute",Unknown,,Norwich,,,"UNITED KINGDOM",,,,,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Oval,Cream,Cream,"Shallow - medium",Smooth,Pink,"Second Early",Medium,"Red violet",Few,6,7,3,-,-,-,4,2,2,5,4,-,-,-,-,-,6,4,4,-,-,-,-
"Maris Piper","Maincrop maturity with high yields and many tubers per plant.  Good resistance to gangrene and splitting.  Suitable for storage.  Moderately susceptible to common scab, powdery scab, potato virus Yo, Dry rot <i> Fusarium coeruleum </i> , <i>  Fusarium sulphureum </i> and slugs. Tests show this variety is susceptible to potato cyst nematode <i> Globodera pallida </i> Pa2/3,1 and resistant to <i> Globodera rostochiensis </i>.   Medium dry matter with good cooking and frying qualities.","(CPC 1673 x Ulster Knight) x (Arran Cairn x Herald)",1,"Plant Breeding Institute",Unknown,,Norwich,,,"UNITED KINGDOM",,,,,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Oval,Cream,Cream,"Very shallow - shallow",Medium,Pink,Maincrop,Tall,"Red violet",Many,6,7,2,-,-,-,4,2,9,1,5,2,3,4,4,4,3,5,4,-,-,-,-
Maritiema,"Trials have found good resistance to blackleg.Â Â This variety has low resistance to potato virus Yo , late blight on foliage and potato leafroll virus..Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1.","AM 71-125 x Ve 709",1,"Schaap BV","Postbus 7",,Biddinghuizen,,"8256 ZG",NETHERLANDS,info@schaapholland.com,www.schaapholland.com,"+31 (0)321-335050","+31 (0)321-335050","Mercian Ltd","Unit 4 The Barns, Highfield Farm","Mill Lane, Snelson",Macclesfield,Cheshire,"SK11 9BN","UNITED KINGDOM",Paul.Knight@mercian.org,http://www.mercian.org/,"01263 761486",,-,"Short - oval",White,Cream,"Very shallow - shallow",-,Blue,"Early Maincrop",Tall,"Blue violet",Absent,-,-,1,-,-,-,2,5,8,6,7,-,-,-,-,-,6,3,2,-,-,-,-
Markies,"Exceptional fry quality, long-term storage with low reducing sugars, good dormancy. Very low requirement for nitrogen. High tolerance to drought stress. Late foliage maturity, but, early in setting tubers.  Resistance to dry rot <i> Fusarium coeruleum </i>, late blight on tubers, blackleg, Bruising, splitting.  Resistant to potato virus Yo and potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and susceptible to <i> Globodera pallida </i> Pa2/3,1.  ","Agria x Fianna",1,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",2029,Oval,Cream,"Light yellow","Shallow - medium",Medium,Blue,Maincrop,"Tall - very tall",White,Absent,8,7,9,-,-,-,6,2,9,5,7,-,7,-,-,-,4,7,5,-,-,-,-
Marvel,"Marvel is an early maincrop  variety.Â Â This variety  is particularily suitable for french fries.Â Â Tubers have excellent resistance to splitting. Â Â Trials have found good resistance to dry rot (<i>F. coeruleum</i>) and dry rot (<i>F. sulphureum</i>). Â The variety is susceptible to potato virus Yn and bruising.  Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and partial resistance to  <i>Globodera pallida</i> Pa 2/3, 1.","SM.84-2-1 x Joly",1,-,-,-,-,-,-,-,-,-,-,-,"Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",-,"Oval - long",Yellow,"Light yellow","Shallow - medium",-,Blue,"Early Maincrop","Medium - tall","Blue violet",Few,3,8,4,2,6,-,5,5,8,4,4,9,8,2,6,4,6,3,5,-,-,-,-
"Marys Rose",..,"Desiree x Cara ",1,"Skea Organics Ltd","East Mains Farm",,Auchterhouse,DUNDEE,"DD3 0QN","UNITED KINGDOM",andrew@skea.eu,https://www.skea.eu/,"+44 (0)1382 320453",,"Skea Organics Ltd","East Mains Farm",,Auchterhouse,DUNDEE,"DD3 0QN","UNITED KINGDOM",andrew@skea.eu,https://www.skea.eu/,"+44 (0)1382 320453",,-,Oval,"Red parti-coloured",White,Shallow,-,Pink,"Second Early",Short,-,-,8,6,-,3,9,-,6,2,2,6,8,2,6,-,-,-,6,3,2,-,-,-,-
Maxine,"Maxine is a variety giving high yields of bold, red skinned tubers. Flesh colour is very white with firm cooking properties. Good drought resistance.  Susceptible to late blight on tubers and common scab.  Tests show resistance to powdery scab, Blackleg and bruising.  Resistant to potato cyst nematode <i> Globodera rostochiensis </i> Ro1. ","Antar x 93-2",1,"Caithness Potato Breeders Ltd","Brigade House","Brigade Street",Blackheath,London,"SE3 0TW","UNITED KINGDOM",exportenquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)20 8297 1020","+44 (0)20 8297 2125","Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2024,"Short - oval",Red,White,"Very shallow - shallow",Smooth,Pink,"Early Maincrop",Medium,"Red violet",Absent,7,6,5,-,-,-,5,4,9,3,7,-,-,-,-,-,7,3,4,-,-,-,-
"Mayan Gold","Mayan Gold originated from the foothills of the Andes of Peru where its ancestors  were once farmed by the Incas.  Mayan Gold is a golden coloured tuber with a nutty flavour proving to be an exceptional variety for chip, crisp and roast manufacturing.  Susceptible to Dry rot <i> Fusarium sulphureum </i>, potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa2/3,1.  Tests show resistance to late blight on foliage, skin spot and common scab.  Resistant to powdery scab.  ","SCRI DB270(43) x SCRI DB 220(52) ex Phureja",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,"Greenvale AP",Springfield,Burrelton,Blairgowrie,Perthshire,"PH13 9PJ","UNITED KINGDOM",post@greenvale.co.uk,www.greenvale.co.uk,"+44 (0)1828 670343","+44 (0)1828 670636",2035,"Very long","Blue parti-coloured","Medium yellow",Medium,Smooth,Blue,Maincrop,"Tall - very tall","Red violet","Very many",6,6,5,-,-,-,5,2,1,8,5,1,5,7,5,6,9,4,7,-,-,-,-
"Mayan Queen","This variety is susceptible to dry rot <i> Fusarium sulphureum </i>, late blight on tubers, potato virus Yo, potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and potato cyst nematode <i> Globodera pallida </i>.  Tests show resistance to powdery scab, blackleg, common scab and bruising.  ","DB527(28) x 84.2.P75",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,"Greenvale AP",Springfield,Burrelton,Blairgowrie,Perthshire,"PH13 9PJ","UNITED KINGDOM",post@greenvale.co.uk,www.greenvale.co.uk,"+44 (0)1828 670343","+44 (0)1828 670636",2038,"Oval - long","Red parti-coloured","Deep yellow",Deep,-,Violet,Maincrop,Short,Violet,-,8,6,2,-,-,-,6,2,2,7,8,1,5,-,-,-,7,3,6,-,-,-,-
"Mayan Rose",,"Mayan Twilight x Mayan Gold",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Oval - long","Red parti-coloured","Parti-coloured red",Shallow,-,Pink,Maincrop,-,-,-,6,6,-,-,-,6,-,2,2,9,5,8,8,7,5,6,7,2,6,-,-,-,-
"Mayan Star","Tubers have good  resistance to splitting and excellent  resistance to bruising.Â Â Trials have found good resistance to late blight on tubers, powdery scab and blackleg. Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>) and potato virus Yo .Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","84.2.P75 x DB527(28)",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,"Greenvale AP",Springfield,Burrelton,Blairgowrie,Perthshire,"PH13 9PJ","UNITED KINGDOM",post@greenvale.co.uk,www.greenvale.co.uk,"+44 (0)1828 670343","+44 (0)1828 670636",2038,"Oval - long",Red,"Parti-coloured red",Medium,-,Violet,Maincrop,Medium,"Red violet",-,9,6,2,-,-,-,5,2,1,3,8,1,5,-,-,-,7,7,4,-,-,-,-
"Mayan Twilight","Tubers have some  resistance to splitting and good  resistance to bruising.Â Â Trials have found good resistance to powdery scab, common scab and blackleg.Â Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>), late blight on tubers and potato virus Yo .Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.",-,1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,"Greenvale AP",Springfield,Burrelton,Blairgowrie,Perthshire,"PH13 9PJ","UNITED KINGDOM",post@greenvale.co.uk,www.greenvale.co.uk,"+44 (0)1828 670343","+44 (0)1828 670636",-,"Oval - long","Red parti-coloured","Parti-coloured red","Shallow - medium",-,Violet,Maincrop,"Medium - tall",Violet,-,7,5,2,-,-,-,6,2,1,8,9,1,4,-,-,-,8,2,3,-,-,-,-
Melody,"Melody is a high quality pre-packing variety. It has a high yield potential of oval, uniform, attractive tubers with light yellow, bright smooth skins and flesh.  Marketable yields, storage quality and cooking characteristics are all excellent. Melody has a good all-round disease resistance.  Susceptible to potato leafroll virus.  Resistance to dry rot <i> Fusarium sulphureum </i>, late blight on tubers, common scab, potato virus yo, bruising, splitting.  Tests show that Melody is resistant to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and susceptible to <i> Globodera pallida </i> Pa2/3,1.  ","VE7445 x W72.22.496",1,"Meijer Potato","Bathseweg 45",,Rilland,,"4411 RK ",NETHERLANDS,info@meijerpotato.com,https://www.meijerpotato.com/en/,"+31 (0)113 - 76 01 00",,"Meijer Potato UK","Bayfield Brecks Barns,","Garden Lane,","Letheringsett, Holt",Norfolk,"NR25 7DZ","UNITED KINGDOM",info@meijerpotato.co.uk,www.meijerpotato.co.uk,"01263 710602",,2030,Oval,Yellow,"Medium yellow",Shallow,Smooth,Violet,Maincrop,Medium,"Red violet",Few,8,7,8,-,-,-,3,2,9,7,5,7,5,6,4,5,5,7,4,-,-,-,-
Merlin,"Merlin gives a very high yield of bold parti-coloured tubers of good all round cooking quality. It has good drought and heat tolerance making it ideally suited to production in countries such as Spain or the Canary Islands.","Cara x 93/2",1,"Caithness Potato Breeders Ltd","Brigade House","Brigade Street",Blackheath,London,"SE3 0TW","UNITED KINGDOM",exportenquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)20 8297 1020","+44 (0)20 8297 2125","Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2027,"Short - oval","Red parti-coloured",Cream,Medium,Medium,Pink,"Early Maincrop",Tall,"Red violet",Absent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Milton,"Trials have found good resistance to potato leafroll virus.This variety has low resistance to late blight on tubers and dry rot (<i>Fusarium sulphureum</i>).Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","FL1864 x FL 1867",1,"Robert Hoopes","4295 Tenderfoot Road",,Rhinelander,,"WI 54501","UNITED STATES",,,,,Pepsico,"c/o Cambridge University Farm","Huntingdon Road",Girton,Cambridge,"CB3 0LH","UNITED KINGDOM",,,,,2038,"Short - oval",White,"Light yellow",Shallow,-,Pink,"Second Early","Short - medium","Red violet",-,3,4,6,-,-,-,7,2,2,4,6,2,6,-,-,-,5,1,3,-,-,-,-
Mimi,"Mimi produces very high numbers of round red skinned tubers of very high quality. Tubers are very regular and flesh is medium yellow with very consistent cooking characteristics. Plants are small and demand fairly professional agronomy to achieve best field results.  Resistance to late blight on tubers, powdery scab, common scab and potato leafroll virus.  Tests show that this variety is resistant to Bruising and potato cyst nematode <i> Globodera rostochiensis </i> Ro1. ","Celine x Thurso",1,"Caithness Potato Breeders Ltd","Brigade House","Brigade Street",Blackheath,London,"SE3 0TW","UNITED KINGDOM",exportenquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)20 8297 1020","+44 (0)20 8297 2125","Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2028,Round,Red,"Light yellow","Shallow - medium",Smooth,Pink,"Second Early","Very short",-,Absent,9,-,6,-,-,-,7,-,9,8,4,-,-,-,-,-,8,7,4,-,-,-,-
Mistay,"Tubers have poor  resistance to splitting and some  resistance to bruising.Â Â Trials have found good resistance to dry rot (<i>F. coeruleum</i>) and powdery scab. Â This variety has low resistance to dry rot (<i>F. sulphureum</i>).Â Â Tests for resistance to potato cyst nematode demonstrated partial resistance to  both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","Gladiator x Innovator",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,-,-,-,-,-,-,-,-,-,-,-,-,"Short - oval",White,Cream,"Shallow - medium",-,Blue,"Early Maincrop",Medium,White,Medium,4,2,-,7,9,-,6,5,5,3,4,1,7,4,4,4,7,3,5,-,-,-,-
Morene,"Morene is suitable for commercial French Fry production.  Morene is a strong growing, high yielding, early maincrop variety.  Morene is particularly well suited to 'off the field' production programmes.  Shoes susceptibility to blackleg and potato virus Yo.  Tests show resistance to powdery scab, common scab, bruising and splitting.  When tested for potato cyst nematode, results found this variety to be resistant to <i> globodera rostochiensis </i> Ro1 and susceptibility to <i> Globodera pallida </i> Pa2/3,1. ","Renova x AM 66/42",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,2014,Oval,Cream,Cream,Shallow,Smooth,Pink,"Early Maincrop",Medium,"Red violet","Very many",8,7,2,-,-,-,6,2,9,7,2,-,-,-,-,-,7,6,4,-,-,-,-
